Date,Open,High,Low,Close,Volume
2022-02-05,0.15,0.15,0.15,0.15,587009429
2022-02-06,0.15,0.15,0.15,0.15,757004142
2022-02-07,0.15,0.17,0.15,0.17,1791358822
2022-02-08,0.17,0.17,0.15,0.16,1190116000
2022-02-09,0.16,0.16,0.16,0.16,778670798
2022-02-10,0.16,0.16,0.15,0.15,1053630584
2022-02-11,0.15,0.15,0.14,0.14,776730555
2022-02-12,0.14,0.15,0.14,0.14,602699408
2022-02-13,0.14,0.16,0.14,0.15,1581065491
2022-02-14,0.15,0.15,0.14,0.15,898042727
2022-02-15,0.15,0.15,0.15,0.15,674961496
2022-02-16,0.15,0.15,0.15,0.15,505588732
2022-02-17,0.15,0.15,0.14,0.14,721382126
2022-02-18,0.14,0.14,0.14,0.14,563817289
2022-02-19,0.14,0.15,0.14,0.14,655782652
2022-02-20,0.14,0.14,0.14,0.14,490138547
2022-02-21,0.14,0.14,0.13,0.13,913773124
2022-02-22,0.13,0.13,0.13,0.13,711967119
2022-02-23,0.13,0.14,0.13,0.13,587472906
2022-02-24,0.13,0.13,0.11,0.12,2046477370
2022-02-25,0.12,0.13,0.12,0.13,805161073
2022-02-26,0.13,0.13,0.13,0.13,535575654
2022-02-27,0.13,0.13,0.12,0.12,592809151
2022-02-28,0.12,0.13,0.12,0.13,765755924
2022-03-01,0.13,0.14,0.13,0.13,876604512
2022-03-02,0.13,0.14,0.13,0.13,709536320
2022-03-03,0.13,0.13,0.13,0.13,518193386
2022-03-04,0.13,0.13,0.12,0.12,650665594
2022-03-05,0.12,0.13,0.12,0.12,334091552
2022-03-06,0.13,0.13,0.12,0.12,400458464
2022-03-07,0.12,0.12,0.12,0.12,513014829
2022-03-08,0.12,0.12,0.12,0.12,491414294
2022-03-09,0.12,0.12,0.12,0.12,519157507
2022-03-10,0.12,0.12,0.12,0.12,513641345
2022-03-11,0.12,0.12,0.11,0.12,388727358
2022-03-12,0.12,0.12,0.12,0.12,235277001
2022-03-13,0.12,0.12,0.11,0.11,373430106
2022-03-14,0.11,0.12,0.11,0.11,822092169
2022-03-15,0.11,0.11,0.11,0.11,400614617
2022-03-16,0.11,0.12,0.11,0.12,537170937
2022-03-17,0.12,0.12,0.12,0.12,412838814
2022-03-18,0.12,0.12,0.11,0.12,410862503
2022-03-19,0.12,0.12,0.12,0.12,628081786
2022-03-20,0.12,0.12,0.12,0.12,428111799
2022-03-21,0.12,0.12,0.12,0.12,439486516
2022-03-22,0.12,0.13,0.12,0.12,610507111
2022-03-23,0.12,0.13,0.12,0.13,998922753
2022-03-24,0.13,0.14,0.13,0.14,2017926806
2022-03-25,0.14,0.14,0.13,0.13,882486375
2022-03-26,0.13,0.14,0.13,0.14,610401998
2022-03-27,0.14,0.14,0.14,0.14,1445019558
2022-03-28,0.14,0.15,0.14,0.14,1476875507
2022-03-29,0.14,0.15,0.14,0.14,961074557
2022-03-30,0.14,0.14,0.14,0.14,884305263
2022-03-31,0.14,0.15,0.14,0.14,1055136949
2022-04-01,0.14,0.14,0.13,0.14,877530017
2022-04-02,0.14,0.14,0.14,0.14,682408266
2022-04-03,0.14,0.15,0.14,0.15,1047399132
2022-04-04,0.15,0.16,0.14,0.15,2253509569
2022-04-05,0.15,0.18,0.15,0.17,5230288678
2022-04-06,0.17,0.17,0.14,0.14,3729047979
2022-04-07,0.14,0.15,0.14,0.15,1420790611
2022-04-08,0.15,0.15,0.14,0.14,1683800631
2022-04-09,0.14,0.14,0.14,0.14,523997409
2022-04-10,0.14,0.16,0.14,0.15,1931829669
2022-04-11,0.15,0.15,0.13,0.13,1515679359
2022-04-12,0.13,0.14,0.13,0.14,1214105682
2022-04-13,0.14,0.14,0.14,0.14,890728707
2022-04-14,0.14,0.15,0.14,0.14,1759067761
2022-04-15,0.14,0.15,0.14,0.15,1140382087
2022-04-16,0.15,0.15,0.14,0.14,584019179
2022-04-17,0.14,0.14,0.14,0.14,636442285
2022-04-18,0.14,0.14,0.13,0.14,909718484
2022-04-19,0.14,0.14,0.14,0.14,679511647
2022-04-20,0.14,0.15,0.14,0.14,1068542289
2022-04-21,0.14,0.14,0.14,0.14,740549793
2022-04-22,0.14,0.14,0.13,0.14,505251263
2022-04-23,0.14,0.14,0.13,0.13,349740069
2022-04-24,0.13,0.13,0.13,0.13,436620221
2022-04-25,0.13,0.17,0.12,0.16,5177823685
2022-04-26,0.16,0.17,0.14,0.14,4529010503
2022-04-27,0.14,0.15,0.14,0.14,1765370972
2022-04-28,0.14,0.14,0.14,0.14,1105137506
2022-04-29,0.14,0.14,0.13,0.14,1555397213
2022-04-30,0.14,0.14,0.13,0.13,916612071
2022-05-01,0.13,0.13,0.13,0.13,991710768
2022-05-02,0.13,0.13,0.13,0.13,769062732
2022-05-03,0.13,0.13,0.13,0.13,555706527
2022-05-04,0.13,0.14,0.13,0.14,838050627
2022-05-05,0.14,0.14,0.13,0.13,1258066467
