Date,Open,High,Low,Close,Volume
2022-02-05,2984.45,3054.13,2966.78,3014.65,13102093957
2022-02-06,3014.96,3061.26,2965.43,3057.48,9466018022
2022-02-07,3057.42,3182.53,3002.93,3142.47,15197063785
2022-02-08,3143.01,3219.47,3038.38,3122.61,17136080906
2022-02-09,3121.18,3263.16,3063.16,3239.46,13951308490
2022-02-10,3240.11,3271.32,3070.38,3077.48,18629485080
2022-02-11,3077.41,3127.45,2888.71,2927.38,16043881065
2022-02-12,2927.39,2980.08,2870.18,2917.36,11254355757
2022-02-13,2916.79,2947.78,2845.40,2883.46,9054963563
2022-02-14,2880.19,2957.96,2840.26,2933.48,12164552172
2022-02-15,2933.73,3185.52,2917.86,3179.88,13921257873
2022-02-16,3180.45,3181.62,3055.17,3127.83,12352406833
2022-02-17,3126.86,3154.62,2861.85,2881.48,15860206214
2022-02-18,2884.34,2937.31,2761.64,2785.73,15748173433
2022-02-19,2784.87,2826.35,2707.38,2763.70,9774183169
2022-02-20,2763.76,2763.76,2585.95,2628.65,11641437834
2022-02-21,2627.67,2752.46,2568.25,2573.82,18646392740
2022-02-22,2572.90,2648.92,2510.68,2639.30,16360200507
2022-02-23,2639.45,2741.37,2587.41,2590.36,13382637240
2022-02-24,2588.17,2689.05,2308.91,2598.07,29312342666
2022-02-25,2598.44,2821.97,2579.21,2764.54,17208902048
2022-02-26,2764.99,2849.42,2745.01,2781.11,11724648351
2022-02-27,2780.50,2831.13,2581.62,2621.80,16150857254
2022-02-28,2621.17,2929.18,2586.39,2919.20,19266124733
2022-03-01,2919.78,3029.65,2868.94,2972.49,18757425786
2022-03-02,2972.47,3026.87,2919.94,2950.12,16636517503
2022-03-03,2950.16,2964.67,2797.32,2834.47,13091199728
2022-03-04,2834.99,2835.18,2587.75,2617.16,14496939024
2022-03-05,2618.47,2679.10,2596.99,2664.83,8072368396
2022-03-06,2664.94,2673.64,2555.04,2555.04,8872976607
2022-03-07,2555.30,2639.94,2455.59,2497.77,14594098731
2022-03-08,2497.72,2618.17,2489.76,2576.75,13922922903
2022-03-09,2577.17,2761.80,2573.66,2729.78,14173665398
2022-03-10,2729.12,2729.12,2566.19,2608.05,13292477213
2022-03-11,2608.27,2664.56,2534.69,2559.56,12382419582
2022-03-12,2559.66,2606.44,2559.13,2574.75,6532996574
2022-03-13,2573.49,2594.55,2503.89,2518.94,8632000379
2022-03-14,2518.49,2604.03,2505.30,2590.70,11244398839
2022-03-15,2590.67,2662.33,2515.77,2620.15,12861105614
2022-03-16,2620.03,2781.31,2610.76,2772.06,17915109769
2022-03-17,2771.96,2826.16,2751.56,2814.85,12685265194
2022-03-18,2814.43,2973.62,2774.86,2945.34,15830879093
2022-03-19,2944.72,2979.99,2910.80,2946.26,11576463120
2022-03-20,2946.55,2956.97,2826.11,2860.46,12684727326
2022-03-21,2860.10,2954.56,2838.25,2897.98,15206116098
2022-03-22,2897.77,3040.38,2892.54,2973.13,16830539230
2022-03-23,2973.15,3036.75,2933.31,3031.07,16008767658
2022-03-24,3031.06,3118.39,3012.33,3108.06,18070503166
2022-03-25,3108.45,3183.96,3087.49,3106.67,17030503831
2022-03-26,3106.41,3146.83,3091.83,3143.18,8876420740
2022-03-27,3143.80,3291.58,3130.00,3291.58,13431866834
2022-03-28,3292.32,3424.02,3279.03,3336.63,20620450770
2022-03-29,3335.02,3470.19,3335.02,3401.99,19533323636
2022-03-30,3401.53,3435.29,3349.24,3385.16,15302506131
2022-03-31,3385.29,3435.13,3272.93,3281.64,17685495686
2022-04-01,3282.58,3467.56,3223.89,3449.55,20982988937
2022-04-02,3449.79,3521.28,3442.00,3445.06,23571556215
2022-04-03,3444.81,3573.96,3421.26,3522.83,15333808649
2022-04-04,3522.36,3535.15,3422.00,3521.24,18209969743
2022-04-05,3521.24,3546.71,3410.55,3411.79,16681503199
2022-04-06,3411.67,3411.67,3171.21,3171.69,25632563639
2022-04-07,3172.20,3263.47,3155.58,3233.27,16745496605
2022-04-08,3233.27,3301.61,3179.14,3192.07,17557050669
2022-04-09,3191.98,3261.96,3187.47,3261.92,9908112156
2022-04-10,3261.29,3303.00,3211.87,3211.87,10427054790
2022-04-11,3209.58,3214.46,2962.76,2981.05,21891804831
2022-04-12,2981.42,3077.45,2957.87,3030.38,20235707410
2022-04-13,3029.88,3123.58,3006.48,3118.34,16088473629
2022-04-14,3117.82,3139.93,2988.44,3019.91,15821419931
2022-04-15,3020.13,3044.29,3001.12,3040.92,11256651536
2022-04-16,3041.12,3074.89,3016.42,3062.31,8766710365
2022-04-17,3061.88,3075.78,2989.04,2993.40,10463091281
2022-04-18,2993.48,3062.52,2893.91,3057.61,18629381299
2022-04-19,3057.57,3125.08,3035.54,3104.11,14156035096
2022-04-20,3103.94,3157.89,3045.29,3077.75,15547362265
2022-04-21,3077.83,3173.45,2962.41,2987.48,20783591093
2022-04-22,2986.94,3024.85,2942.36,2964.84,16782795477
2022-04-23,2964.80,2975.32,2926.74,2938.11,9116955609
2022-04-24,2937.35,2961.88,2922.13,2922.73,9696829579
2022-04-25,2922.99,3018.42,2804.51,3009.39,22332690614
2022-04-26,3008.95,3026.42,2786.25,2808.30,19052045399
2022-04-27,2808.65,2911.88,2802.27,2888.93,17419284041
2022-04-28,2888.85,2973.14,2861.82,2936.94,18443524633
2022-04-29,2936.78,2943.45,2782.44,2815.60,18771041399
2022-04-30,2815.53,2836.83,2727.41,2730.19,13520941867
2022-05-01,2729.99,2838.70,2728.08,2827.76,15332730152
2022-05-02,2827.61,2874.15,2785.52,2857.41,18609741545
2022-05-03,2857.15,2859.19,2762.12,2783.48,13026093219
2022-05-04,2783.13,2956.69,2779.27,2940.64,18186749944
2022-05-05,2940.23,2948.96,2704.92,2749.21,22642925048
