Date,Open,High,Low,Close,Volume
2022-02-07,14118.79,14236.31,13974.10,14015.67,4253020000
2022-02-08,13984.43,14226.48,13934.78,14194.45,4277150000
2022-02-09,14368.16,14490.72,14330.87,14490.37,4713210000
2022-02-10,14228.68,14509.56,14118.20,14185.64,5191050000
2022-02-11,14213.62,14246.70,13733.16,13791.15,5222590000
2022-02-14,13768.97,13921.71,13664.76,13790.92,4301470000
2022-02-15,13997.18,14142.49,13976.29,14139.76,4393050000
2022-02-16,14038.92,14163.73,13931.99,14124.09,4224060000
2022-02-17,14004.19,14020.82,13704.70,13716.72,4259890000
2022-02-18,13735.40,13762.40,13465.56,13548.07,4475010000
2022-02-22,13424.36,13618.72,13249.65,13381.52,4830920000
2022-02-23,13511.75,13533.78,13032.17,13037.49,4614090000
2022-02-24,12587.88,13486.11,12587.88,13473.59,6131410000
2022-02-25,13485.26,13696.86,13358.29,13694.62,4614110000
2022-02-28,13570.83,13810.64,13549.90,13751.40,5894130000
2022-03-01,13716.70,13777.04,13441.32,13532.46,6094490000
2022-03-02,13597.53,13796.55,13493.91,13752.02,5229480000
2022-03-03,13837.59,13837.59,13472.64,13537.94,5058590000
2022-03-04,13455.23,13486.71,13224.98,13313.44,5319630000
2022-03-07,13328.36,13353.28,12828.02,12830.96,6163580000
2022-03-08,12800.04,13159.44,12670.08,12795.55,6631820000
2022-03-09,13113.70,13301.16,13039.79,13255.55,5377120000
2022-03-10,13098.35,13163.50,12946.28,13129.96,5034030000
2022-03-11,13229.77,13239.35,12830.37,12843.81,5250230000
2022-03-14,12795.12,12918.01,12555.35,12581.22,5853360000
2022-03-15,12685.23,12973.88,12616.59,12948.62,5414590000
2022-03-16,13119.37,13440.12,12992.20,13436.55,6498110000
2022-03-17,13360.72,13620.80,13317.14,13614.78,5575030000
2022-03-18,13564.63,13899.28,13528.06,13893.84,8109950000
2022-03-21,13860.39,13945.81,13682.55,13838.46,5636000000
2022-03-22,13866.43,14141.07,13857.29,14108.82,5400360000
2022-03-23,13990.35,14152.14,13921.65,13922.60,4995470000
2022-03-24,14001.32,14193.55,13897.20,14191.84,5046250000
2022-03-25,14194.72,14218.76,14010.79,14169.30,5553860000
2022-03-28,14177.21,14356.00,14101.34,14354.90,5086120000
2022-03-29,14500.39,14646.90,14419.40,14619.64,6031870000
2022-03-30,14558.59,14609.25,14383.45,14442.27,5439980000
2022-03-31,14444.78,14456.74,14217.72,14220.52,5427030000
2022-04-01,14269.53,14306.94,14131.81,14261.50,4984050000
2022-04-04,14304.35,14534.38,14286.45,14532.55,4598480000
2022-04-05,14490.26,14500.29,14169.12,14204.17,4707090000
2022-04-06,14002.58,14032.84,13788.90,13888.82,5265740000
2022-04-07,13861.49,13978.25,13689.23,13897.30,4822420000
2022-04-08,13830.47,13866.06,13693.69,13711.00,4554890000
2022-04-11,13547.29,13585.08,13401.39,13411.96,4916860000
2022-04-12,13584.69,13685.95,13317.74,13371.57,4965220000
2022-04-13,13373.12,13679.43,13353.66,13643.59,4887660000
2022-04-14,13647.43,13662.93,13345.22,13351.08,4623410000
2022-04-18,13319.39,13414.27,13222.03,13332.36,4350150000
2022-04-19,13312.44,13643.97,13281.22,13619.66,4527480000
2022-04-20,13665.38,13678.55,13426.13,13453.07,4639440000
2022-04-21,13623.70,13710.70,13140.83,13174.65,5206320000
2022-04-22,13168.80,13212.60,12828.02,12839.29,4457380000
2022-04-25,12749.17,13011.45,12722.59,13004.85,4827790000
2022-04-26,12918.04,12918.04,12490.74,12490.74,5136770000
2022-04-27,12500.88,12703.79,12430.90,12488.93,4773290000
2022-04-28,12712.86,12948.52,12487.86,12871.53,5030570000
2022-04-29,12710.42,12861.83,12315.74,12334.64,4719290000
2022-05-02,12331.69,12542.54,12202.41,12536.02,4896740000
2022-05-03,12511.46,12645.83,12460.99,12563.76,4522940000
2022-05-04,12574.73,12985.01,12367.02,12964.86,5467750000
